SMILES,fingerprint
CCCCC(COC(=O)/C=C/c1ccc(cc1)OC)CC,00000371E0783000000000000000000000000000000000000000300000000000000000010000001A00000000000D04A09802320E80000400880220D208000208002020000888000608C80C262284311A82302024C01108A98780C0000E20000000000000004000000000000000000000000000
OC1CCCc2c1cccc2,00000371C0702000000000000000000000000000000000000000306000000000000000C10000001A00000800000C14A0980230008000020080022042000002000020000008880000088808362280111080700024C00108980780C0B00E80000000001000000000020000300000000000000000
O=C1CCC2C(O1)CCCC2,00000371C0703000000000000000000000000000000000000000344000000000000000900000001A00000000000D14A0800200080000040008000090080000000000000000000100000000001200000002000004000000000188CCA0CE00000000000000000000000000100000000000000000
CC1(C)C2CCC3(CO3)C1C2,00000371E0702000000000000000000000001200600000000000306000000000000000000000001A00000000000F44A0800202000000040000000000000000000000000000000000000000000200000000000004000000000180C0F00F8000000000000000C000060000300000000000000000
CC(=CC/C=C(\C)/CCOC(=O)CC(C)C)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000D00A08002020800000400880220D208000000002000000008010000080000100001000200000440000800020000000800000000000000000000000000000000000000000000
C=C(C)[C@H]1CC=C(C)[C@@H](C1)O,00000371E0702000000000000000000000000000000000000000200000000000000000000000001A00000800000D14A080020200000002008002204200000000002000000008000000080014020001000050000480000810038080000E00000000000000000000000000000000000000000000
C/C=C/c1cc(c(c(c1)OC)O)OC,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000C048098023206800006008002204200000208002020000888000688880D272286311A80702325C0150BB80780E01C0E20000108000040004000021000008000000000000000
CC(C)C(=O)C,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A00000000000D048080000200000000000800801000000000000000000000010000000000000000000000000000000000000000000800000000000000000000000000000000000000000000
CC(C)c1ccc(C=CC=O)cc1,00000371C0702000000000000000000000000000000000000000300000000000000000010000001A00000000000D00A098023200800000008802285280000200002000000888000000C80820228011108020002080000889870080C00EC0000000000000008000000000000000000000000000
CCc1c(CC)nccn1,00000371C07300000000000000000000000000000000000000002C0000000000000000018000001C00000000000808C116042E8012081000A00114674400008024311220085800387008006042408000140000200000C848030000000000000000000000000000000000000000000000000000
CC1COC(C)(c2ccc3c(c2)C(C)(C)CCC3(C)C)O1,00000371E0783000000000000000000000000000000120000000306000000000000000C10000001A00000000000E14A09802320880000400800220420000020000200000088800000888192622803118A2300024C0010EA80780C0F00FC0000200001000008000040000200000000000000000
CC(=CCC/C(=C/CCC(C)C=O)/C)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000000000D00A080020200000000008802285280000000002000000008010000080000120001000000000080000800020800000C00000000000000000000000000000000000000000000
c1ccc(cc1)CCS,00000371C0700000400000000000000000000000000000000000300000000000000000010000001804000000000C00845800B000800000048002204200000200002000000888000000880820228011108020002080000888070080800E00000000000000000000000000000000000000000000
O=N(=O)c1c(C)c(C(=O)C)c(c(c1C(C)(C)C)N(=O)=O)C,00000371E0733800000000000000000000000000000000000000300000000000000000010000001E00040000000E0C81980002C0801040008902845043008200002400002088010044CA08203280D4D180210060800008C9071C88C08FC8000240041200009000048008240000000000000000
CC(C(C)O)O,00000371C0603000000000000000000000000000000000000000000000000000000000000000001A00000800000814A080020200000002000000000000000000000000000000000000000110000000000040000000000100000000000000000000000000000000000000000000000000000000
CCCCC(CCC)O,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000814A080020200000002000000000000000000000000000000000000000010020000000040000400000000018080800000000000000000000000000000000000000000000000
CC(OP(=O)(OC(C)C)OC(C)C)C,00000371E0703802000000000000000000000000000000000000000000000000000000000000001A00000020000814A080020200000001100040000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CCCCCCCC(C)O,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000814A0800202000000020000000000000000000000000000000000000000100200000000400004000000000180C0A00000000000000000000000000000000000000000000000
CC(=O)CC(C)(C)C1CCCCC1,00000371E0702000000000000000000000000000000000000000300000000000000000000000001A00000000000F048080000200000000000800801000000000000000000000010000000000120000000000000000000000010888C08F80000000000000000000000000000000000000000000
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,00000371E0783000000000000000000000000000000183000000300000000600180000C00000001A00000000000F4480800002080000040008000090080000000000000000000000000000000200000002000004000000000180C0F00F8000000000000000C000040000300001000008000000
CCCCCCC[C@H]1CCC(=O)O1,00000371E0703000000000000000000000000000000120000000000000000000000000000000001A00000000000814A080020208000004000800009008000000000000000000010000000000120000000200000400000000018AC8A08000000000000000000000000000000000000000000000
CCSCC,00000371C06000004000000000000000000000000000000000000000000000000000000000000018040000000000008440008200000000080000000000000000000000100000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000
CC(C)CC/C=C/C(=O)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000000000D048080000200000000008800A05200000000002000000808000000480000020001000000000080000801820000000C00000000000000000000000000000000000000000000
O=CC(c1ccccc1)(CC=C(C)C)C,00000371E0702000000000000000000000000000000000000000300000000000000000010000001A00000000000E00A098023200800000008802285280000200002000000888010000880820328015108020002080000888070888C08F80000000000000000000000000000000000000000000
CCCCC1C(C=CC=O)O1,00000371C0703000000000000000000000001200000000000000000000000000000000000000001A00000000000814A0800202000000040088002852800000000020000008080000004800040200210002100004C00008218380C0000000000000000000000000000000000000000000000000
C/C=C/C(=O)C,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A000000000008048080000200000000008800A05200000000002000000808000000480000000001000000000000000801820000000000000000000000000000000000000000000000000000
C/C(=C\COC(=O)CC(=O)C)/CCC=C(C)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000C04A080020208000004008802A0D2080000000020000000080100000800041608210002100004A0000820020000000000000000000000000000000000000000000000000000
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,00000371F0783800000000000000000000000000000000000000000000000000000000000000001A00000000000800A0800202080000040008000090080000000000000000000100000000001200000002000004000000000188C8A08000000000000000000000000000000000000000000000
CC(C)c1cccc(c(=O)c1)O,00000371C0703000000000000000000000000000000000000000000000000400000000000000001A00000800000D048080000200000002008802A052000200000020200008080040004808000000010000400000C0000881820000000800000000000000000000000000000000000000000000
c1cc2c(cc1CO)OCO2,00000371C0703000000000000000000000000000000120000000300000000000000048010000001A00000800000C04A09803300E800006008002204200000208002020000888000688881D362284311AA0702224C0110EB807C0E03C0E20000100000040004000020000008000000000000000
CCCc1cccc(c1)O,00000371C0702000000000000000000000000000000000000000300000000000000000010000001A00000800000C0480980032068000020080022042000002000020200008880006088808262282111280700024C01108980780C0B00E00000100000000000000020000000000000000000000
O=CCc1cccc(c1)C(C)C,00000371C0702000000000000000000000000000000000000000300000000000000000010000001A00000000000D00A098023200800000008802285280000200002000000888010000880820328015108020002080000888070888C08E80000200000000000000040000000000000000000000
CCOC(OCCC(CCC=C(C)C)C)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000D00B080030208000004008002204200000000002000000008000000081000020001002200000480000C00038040000E00000000000000000000000000000000000000000000
C1CCC(CC1)O,00000371C0602000000000000000000000000000000000000000300000000000000000000000001A00000800000814A080020000000002000000000000000000000000000000000000000010020000000040000400000000018040000000000000000000000000000000000000000000000000
COc1ccc(cc1)C=CC(=O)C(C)C,00000371E0703000000000000000000000000000000000000000300000000000000000010000001A00000000000D048098023206800004008802A05200000208002020000888010608C80C262284311A80302024C01108A98780C0000E20000000000000004000000000000000000000000000
CCOC(=O)/C=C/c1ccco1,00000371C0703000000000000000000000000000000120000000000000000000000000018000001A00000000000804A09002320C800004408800A8D288000208002420000888010608C80C263284351A821920A4C01108A9868800000000000000000000000000000000000000000000000000
CC/C=C/CC(=O)C=C,00000371C0702000000000000000000000000000000000000000000000000000000000000000001A000000000008048080000200000000008800A05200000000002000000808010000480000000001000000000080000800820000000000000000000000000000000000000000000000000000
CC1=C(C)C(=C(O)CCCCCCCC1)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000C0480800002000000020080020040000000000020200000080000000808000200000000400004800008800380C0A00000000000000000000000000000000000000000000000
COc1cc(C=O)ccc1OC,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000000000C04A098023206800004008802285280000208002420000888010688C80D263284351A80312224C0110AA9878ACC10CE20000100000040004000020000008000000000000000
CC/C=C\CCCCC=O,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000000000800A080020200000000008800285280000000002000000808010000080000120001000000000080000800030808000000000000000000000000000000000000000000000000
C/C=C\C(C)C,00000371C0600000000000000000000000000000000000000000000000000000000000000000001800000000000D008000000200000000008000204200000000002000000808000000080000000001000000000000000800020000000000000000000000000000000000000000000000000000
CC(=C)C1CC=C(C(C1)O)C,00000371E0702000000000000000000000000000000000000000200000000000000000000000001A00000800000D14A080020200000002008002204200000000002000000008000000080014020001000050000480000810038080000E00000000000000000000000000000000000000000000
C/C=C/C(=O)OC(C1CCCCC1)C,00000371E0703000000000000000000000000000000000000000300000000000000000000000001A00000000000D14A08002020800000400880020D2080000000000000008080000004000040200210002100004000000218180C0A00E00000000000000000000000000000000000000000000
CCC1OCC2(CO1)CCC=CC2,00000371E0703000000000000000000000000000000000000000244000000000000000000000001A00000000000E00B080030208000004008000204200000000002000000808000000081000020001002200000580000C00038000000F00000000000000000000000000000000000000000000
OCc1ccc(cc1)OC,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000C04A098023206800006008002204200000208002020000888000608880C362284311A80702024C01108B80780E02C0E20000000000000004000000000000000000000000000
Cc1ccco1,0000037180602000000000000000000000000000000120000000000000000000000000018000001A00000000000804A090023204800004408800A85280000208002420000888010608C80C263284351A821920A4C01108A9868800000000000000000000000000000000000000000000000000
COC(OCCC(CCC=C(C)C)C)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000D00B080030208000004008002204200000000002000000008000000081000020001002200000480000C00038040000E00000000000000000000000000000000000000000000
CCC(C)CCC(=O)O,00000371C0603000000000000000000000000000000000000000000000000000000000000000001A00000800000D008080000208000002000800009008000000000000000000010000000000120000000040000400000000018848000E00000000000000000000000000000000000000000000
COc1cc(C=O)cc(c1OC)OC,00000371C0703800000000000000000000000000000000000000300000000000000000010000001A00000000000C04A098023206800004008802285280000208002420000088010688C80D273284351A80312225C0150AA9878AEC1CCE20000108000040004000021000008000000000000000
CC1=CC=CC(C)(C)C21CC(=O)C(C)O2,00000371E0703000000000000000000000000000000120000000200000000000000000000000001A00000000000E54A080020200000004008802A052000200000020000008080140000808041600210402100004E00008A00388C0500F80000000000000000000000000000000000000000000
CC(=O)C=Cc1c(C)ccc(c1C)C,00000371E0702000000000000000000000000000000000000000300000000000000000010000001A00000000000C048098003200800000008802A05200000200002000000888000000C80820228011108020002080000889870080C00EC0000200001000008000040000200000000000000000
CC(C)C1SC(C(C)C)SS1,00000371E0700000600000000000000000000000000120000000000000000000000000000000001804000000000D008440008200000000080000000000000001000000100000000000000000002000000000000000002000000000000000000000000000000000000000000000000000000000
CCc1occc(=O)c1O,00000371C0603000000000000000000000000000000000000000200000000000000000000000001A00000800000804A080020200000006008800A05200020008002020000808004000480000000000000040000040000801820000000000000000000000000000000000000000000000000000
CC(C)CCSSCCC(C)C,00000371E0700000600000000000000000000000000000000000000000000000000000000000001804000000000D008440008200000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000
CCCCCC1OCC(O1)C,00000371E0703000000000000000000000000000000120000000000000000000000000000000001A00000000000814B080030208000004000000000000000000000000000000000000001100020000002200000400000600018040000000000000000000000000000000000000000000000000
CCC(CC(=NO)CC)C,00000371E0722000000000000000000000000000000000000000000000000000000000000000001C00040800000D088100000200001000002001002000000000000000000000003000000000020000000000000000000000010080000E00000000000000000000000000000000000000000000
CC(C)COC(=O)C(C)O,00000371C0603000000000000000000000000000000000000000000000000000000000000000001A00000800000D14A080020208000006000800009008020000000000000000014000000110000000000200000000000300000000000000000000000000000000000000000000000000000000
CCC=CC=CCO,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A00000800000800A080020200000002008000204200000000002000000808000000080814000001000010000000000890020000000000000000000000000000000000000000000000000000
CC(C(=O)[O-])O.[Na+],0000037180403020000000000000000000000000000000000000000000000000000000000000001A00000800000814A080020208000002000800009008020000000000000000014000000110000000000000000000000100000000000000000000000000000000000000000000000000000000
CC(C)CCOC(=O)CC(=O)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000D04A080020208000004000800809008000000000000000000010000000000140800000200000420000000000000000800000000000000000000000000000000000000000000
C=CCc1ccc(c(c1)OC)OC1CCCCO1,00000371E0703000000000000000000000000000000000000000344000000000000000010000001A00000000000C04B09803320E800004008002204200000208002020000888000688881D262284311AA23822A4C0110EA80780E0B80E20000100000040004000020000008000000000000000
CC(=O)OC1=CCCCCCC1,00000371E0703000000000000000000000000000000000000000000000000000100000000000001A00000000000804808000020800000400880020D2080000080020200000080000000800000200010002000004800008000380C0A00000000000000000000000000000000000000000000000
CC(C)C(=O)OC1CCCCC1,00000371E0703000000000000000000000000000000000000000300000000000000000000000001A00000000000D14A080020208000004000800009008000000000000000000010000000000020000000200000400000000018040000000000000000000000000000000000000000000000000
CC1CCOC(=O)C1,00000371C0603000000000000000000000000000000000000000240000000000000000000000001A00000000000D00A080020208000004000800009008000000000000000000010000000000120000000200000400000000008804000A00000000000000000000000000000000000000000000
CCCCCCCC/C=C\CC=O,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000000000800A080020200000000008800285280000000002000000808010000080000020001000000000080000800030080800000000000000000000000000000000000000000000000
CCCCc1c(C)nc(C)cn1,00000371E07300000000000000000000000000000000000000002C0000000000000000018000001C00000000000808C116042E8012081000A00114674400008024311220005800387008006042409100940000208000C848031080000000000000000000000000000000000000000000000000
CCC(CC(CCC=C(C)C)C)O,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000D14A0800202000000020080022042000000000020000000080000000800100200010000400004800008000380C0800E00000000000000000000000000000000000000000000
O=COC1CCC(CC1)C(C)(C)C,00000371E0703000000000000000000000000000000000000000300000000000000000000000001A00000000000F14A0800302080000040008000000880000000000000000000000000000000200000000000004000000000180C0D00F80000000000000004000000000000000000000000000
CC(=O)O[C@@H]1C[C@@H](CC=C1C)C(=C)C,00000371E0703000000000000000000000000000000000000000200000000000000000000000001A00000000000D14A08002020800000400880220D208000000002000000008000000080004020021000210000480000820038080000E00000000000000000000000000000000000000000000
CC=CCC(=O)OCCCC,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000800A08002020800000400880020D208000000002000000808010000080000000001000200000440000800020000000000000000000000000000000000000000000000000000
Cc1cccc2c1cccc2,00000371C0700000000000000000000000000000000000000000306000000000000000C15000001800000000000C008018003200C00000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000200001000000000040000200000000000000000
COc1nccnc1C(C)C,00000371C07320000000000000000000000000000000000000002C0000000000000000018000001E00000000000D08C196062E8412081400A001146744040088243172200850003D7008066040448002150020040000D040000000000800000000000000000000000000000000000000000000
CCCCCC(=Cc1ccccc1)C(OCC)OCC,00000371E0783000000000000000000000000000000000000000300000000000000000010000001A00000000000C00B09803320880000400800220420000020000200000088800000088182422803110A230002480000CA80780C0200E00000000000000000000000000000000000000000000
CCC1C(=O)C(=C(C)O1)O,00000371C0603000000000000000000000000000000100000000000000000000000000000000001A00000800000814A0800202000000060088008050000200080020200000080140004800001200000402400005C0000801028000000000000000000000000000000000000000000000000000
CCOC(C(=O)C)(OCC)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000804A080020208000004000800801000020000000000000000014000001000000000042200000000000400000000000000000000000000000000000000000000000000000000
CC/C=C/CC(=O)OC,00000371C0603000000000000000000000000000000000000000000000000000000000000000001A00000000000800808002020800000400880020D208000000002000000808010000080000000001000000000040000800020000000000000000000000000000000000000000000000000000
OCC/C=C/C/C=C\CC,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000800A080020200000002008000204200000000002000000808000000080010000001000040000040000800020000000000000000000000000000000000000000000000000000
O=C(c1ccccc1)OCc1ccco1,00000371C070300000000000000000000000000000012000000030000000000000000001C000001A00000000000C04A09802300C800004408802A8D288020208002420000888014608C80D263284351E823920A4C0110AA98788EC288E00000000000000000000000000000000000000000000
CCCCc1nc(C)cnc1C.CCCCc1ncc(nc1C)C,00000371F07B80000000000000000000000000000000000000002C580000000000000001E000001C00000000000808C116042E8012081000A00114674400008024311220005800387008006042409100940000208000C848031080000000000000000000000000000000000000000000000000
Cc1ccc(c(C)c1)OC,00000371C0702000000000000000000000000000000000000000300000000000000000010000001A00000000000C048098023206800004008002204200000208002020000888000608880C262284311A80302024C01108A80780C0600E20000200000800004000040000100000000000000000
CCCC=CCO,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A00000800000800A080020200000002008000204200000000002000000808000000080014000001000010000080000810020000000000000000000000000000000000000000000000000000
CC/C=C\CCOC(C)OCC,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000800B080030208000004008000204200000000002000000808000000081000000001002200000040000C00020000000000000000000000000000000000000000000000000000
C/C=C(\C)/C(=O)C,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A00000000000C048080000200000000008802A05200000000002000000008010000480000000001000000000000000801820000000000000000000000000000000000000000000000000000
CCCCCCCCCCCC(=O)Oc1ccc(cc1)C,00000371E0783000000000000000000000000000000000000000300000000000000000010000001A00000000000C04809800320E80000400880220D208000208002020000888010608880C263284311A823A20A4C01108A80788C8A08E20000000000000004000000000000000000000000000
CC=C(C)C1CCC(C)(C)O1,00000371E0702000000000000000000000000000000120000000000000000000000000000000001A00000000000C54A0800202000000040080022042000000000020000000080000000800040200210002100004800008200380C0400C00000000000000000000000000000000000000000000
C/C=C/C(=O)C1C(=C)CCCC1(C)C,00000371E0702000000000000000000000000000000000000000300000000000000000000000001A00000000000F048080000200000000008802A05200000000002000000808010000480000120001000000000080000801830888C08F80000000000000000000000000200000000000000000
CC(=CCCC(=CCCC(C)CCO)C)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000D00A080020200000002008002204200000000002000000008000000080010020001000040000480000800038040000E00000000000000000000000000000000000000000000
CC/C=C\CCOC(OCC/C=C\CC)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000800B080030208000004008000204200000000002000000808000000081000000001002200000040000C00020000000000000000000000000000000000000000000000000000
CC(OCCc1ccccc1)OCCc1ccccc1,00000371E0783000000000000000000000000000000000000000306000000000000000014000001A00000000000C00B09803320880000400800220420000020000200000088800000088182022801110A2200024C0010C880780C0A00E00000000000000000000000000000000000000000000
CC1=C(C)C2(C)CCC1(C)C(C)(C)C2(C)O,00000371E0702000000000000000000000000000000000000000304080000000000000000000001A00000800000E4480800002000000020080020040000000000020000000080000000800000200000000400004C00008000380C0F00F80000000000000008000060000300000000000000000
CCOC(=O)C(C)C1CCCCC1,00000371E0703000000000000000000000000000000000000000300000000000000000000000001A00000000000D00A0800202080000040008000090080000000000000000000100000000001200000002000004000000000188C8E08E80000000000000000000000000000000000000000000
CCCCCCC1OCC(C)O1,00000371E0703000000000000000000000000000000120000000000000000000000000000000001A00000000000814B0800302080000040000000000000000000000000000000000000011000200000022000004000006000180C0200000000000000000000000000000000000000000000000
CCCCC(=O)C(CCC)S,00000371E0702000400000000000000000000000000000000000000000000000000000000000001A0400000000080484C0008200000000040800801000000000000000000000010000000000120000000000000000000000010880800000000000000000000000000000000000000000000000
C=CCCCCCCCC(=O)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A000000000008048080000200000000008800A05200000000002000000800010000080000120001000000000080000000010888808000000000000000000000000000000000000000000000
CC(C)C(C(=O)C)S,00000371C0602000400000000000000000000000000000000000000000000000000000000000001A04000000000D0484C0008200000000040800801000000000000000000000010000000000120000000000000000000000000000000C00000000000000000000000000000000000000000000
CC(C=C)CO,00000371C0602000000000000000000000000000000000000000000000000000000000000000001A00000800000D00A080020200000002008000204200000000002000000800000000080010000001000040000040000000000000000000000000000000000000000000000000000000000000
CCCC(OC(=O)CCC)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000814A080020208000004000800009008000000000000000000010000000000120000000200000400000000000000000000000000000000000000000000000000000000000000
CC1C=C(C)CC(C1)C#N,00000371C0720000000000000000000000000000000000000000200000000000000000000000001C00000000000D0081000002000000000090062042000000000020000000080000000800800200010000000000800008000B0080400E00000000000000000000000000000000000000000000
C/C=C/C(=O)OC(CC(C)C)C,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000D14A08002020800000400880020D208000000000000000808000000400004020021000210000400000021800000000C00000000000000000000000000000000000000000000
c1ccc(cc1)C(C(=O)c1ccccc1)O,00000371C0703000000000000000000000000000000000000000306000000000000000014000001A00000800000C14A098023000800002008802A05200020200002400000888014008C808363280151080710024C00108998788C8E08E00000000000000000000000000000000000000000000
CC(=CCCC(=CCCC(=O)C)C)C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000000000C048080000200000000008802A05200000000002000000008010000080000120001000000000080000800020000000000000000000000000000000000000000000000000000
CC1=CCOC(C1)c1ccccc1,00000371C0702000000000000000000000000000000000000000304000000000000000010000001A00000000000C14A0980232008000040080022042000002000020000008880000088808262280311882300024C00108A80780C0A00E00000000000000000000000000000000000000000000
COC(=O)C1(C)CCCC2(C1CC=C1C2CCC(C1)C(C)C)C,00000371F0783000000000000000000000000000000000000000306080000000000000800000001A00000000000F00808002020800000400880220D2080000000020000000080100000800001200010000000004800008000388C8F08F80000000000000008000040000200000000000000000
CCCc1c(C)nccn1,00000371C07300000000000000000000000000000000000000002C0000000000000000018000001C00000000000808C116042E8012081000A00114674400008024311220085800387008006042409000940000208000C848031000000000000000000000000000000000000000000000000000
CC(=O)C1CCCCC1,00000371C0702000000000000000000000000000000000000000300000000000000000000000001A00000000000D048080000200000000000800801000000000000000000000010000000000120000000000000000000000010888808E00000000000000000000000000000000000000000000
OCc1ccccc1,00000371C0602000000000000000000000000000000000000000300000000000000000010000001A00000800000C00A0980230008000020080022042000002000020000008880000088808362280111080700024C00108980780C0200E00000000000000000000000000000000000000000000
O=c1cc[nH]cc1,0000037180622000000000000000000000000000000000000000200000000000000000000000001E00100000000804C18004000002C000008800A05640000000002002000800800800480000000000000000000000000000C00000000000000000000000000000000000000000000000000000
CCC(C(=O)OCc1ccccc1)C,00000371E0703000000000000000000000000000000000000000300000000000000000010000001A00000000000D00A09802320880000400880220D2080002000020000008880100088808263280311882300024C00108A80780C0200E00000000000000000000000000000000000000000000
CC1CCOC2(CCCCC2)O1,00000371E0703000000000000000000000000000000000000000344000000000000000000000001A00000000000814A080020208000004000000000000000000000000000000000000001000020000002200000500000400018040000000000000000000000000000000000000000000000000
CC(=O)OC(C)(C)Cc1ccccc1,00000371E0703000000000000000000000000000000000000000300000000000000000010000001A00000000000C44809800320880000400880220D2080002000020000008880000008808202280111082200024C00108880780C0E00E00000000000000000000000000000000000000000000
CCCCCC(C)C(=O)O,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000800000D0080800002080000020008000090080000000000000000000100000000001200000000400004000000000188C8608C00000000000000000000000000000000000000000000
CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,00000371F0783800000000000000000000000000000000000000000000000000000000000000001A00000800000814A0800202080000060008000090080000000000000000000100000001101200000002400005000003000188C8A08000000000000000000000000000000000000000000000
C1CCCCCCCOC(=O)/C=C/CCCC1,00000371E0703000000000000000000000000000000000000000000000000000000000000000001A00000000000800A08002000800000400880020D2080000000020000008080000004800040200210002100004800008218380C0A00000000000000000000000000000000000000000000000
O=CCC(c1cccc(c1)C(C)C)C,00000371E0702000000000000000000000000000000000000000300000000000000000010000001A00000000000D00A098023200800000008802285280000200002000000888010000880820328011108020002080000888070888C08E80000200000000000000040000000000000000000000
CSCCCOC(=O)CS,00000371C0603000600000000000000000000000000000000000000000000000000000000000001A04000000000800A4C00282080000040C0800009008000000000000100000000000000000002000000200000000000000000000000000000000000000000000000000000000000000000000
CCOC(=O)C(C)S,00000371C0603000400000000000000000000000000000000000000000000000000000000000001A04000000000800A4C0028208000004040800009008000000000000000000010000000000000000000200000000000000000000000000000000000000000000000000000000000000000000
OCCCCCCCCC=C,00000371E0702000000000000000000000000000000000000000000000000000000000000000001A00000800000800A0800200000000020080002042000000000020000008000000000800100200010000400004800000000180C0A00000000000000000000000000000000000000000000000
C=CCC1(C(C)(C)CCCCC1(C)C)O,00000371E0702000000000000000000000000000000000000000000000000600000000000000001A00000800000E4480800002000000020080002042000000000020000008000000000800000200010000400004C00000000180C0E00F80000000000000000000000000000000000000000000
C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,00000371E0702000000000000000000000000000000000000000304000000000000000800000001A00000000000F048080000200000000008802A05200000000002000000008010000480000120001000000000080000801030888C08F80000000000000000000040000000000000000000000
